message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.587058166";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.582616975";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.575017105";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.571069272";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.566810741";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.558204524";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.555948246";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.551025360";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.542346009";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.539669088";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.535114732";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.526617972";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.523488826";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.519125341";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.511011253";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.507626283";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.502803809";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.494293960";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.491524503";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.486892234";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.478435667";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.475652745";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.446776984";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.443011041";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.438710289";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.430132301";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.427254024";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.423120524";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.414228598";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.398446739";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.395414391";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.390627566";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.383311659";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.366579194";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.363060562";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.358794314";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.278793009";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.270490111";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.267593512";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.262861133";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.254615995";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.251563848";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.247108595";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.238747254";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.235593013";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.231248355";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.223091004";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.207340792";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.203151409";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.158682746";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.155657147";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.135148924";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.126911192";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.122849901";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.118568339";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.110215138";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.106925082";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.102986663";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.094283123";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim1.turtle1";"1759999556.091879368";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim3.turtle3";"1759999556.086381372";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.342279])";"30";"turtlesim2.turtle2";"1759999556.078506681";"/home/latup/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
